from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U1058Z2,U1353Z1,2,240,,
U1058Z2,U1353Z2,2,240,,
U1061Z1,U11009Z21,2,600,,
U1061Z1,U11009Z22,2,600,,
U1061Z2,U11009Z21,2,600,,
U1061Z2,U11009Z22,2,600,,
U1068Z1,U1068Z2,2,180,,
U1068Z1,U1068Z3,2,120,,
U1068Z1,U1068Z4,2,180,,
U1068Z2,U1068Z1,2,180,,
U1068Z2,U1068Z3,2,120,,
U1068Z2,U1068Z4,2,120,,
U1068Z3,U1068Z1,2,120,,
U1068Z3,U1068Z2,2,120,,
U1068Z3,U1068Z4,2,120,,
U1068Z4,U1068Z1,2,180,,
U1068Z4,U1068Z2,2,120,,
U1068Z4,U1068Z3,2,120,,
U1073Z1,U1073Z5,2,120,,
U1073Z1,U1073Z6,2,120,,
U1073Z1,U1073Z7,2,120,,
U1073Z1,U1073Z9,2,120,,
U1073Z1,U1073Z10,2,120,,
U1073Z1,U1073Z12,2,120,,
U1073Z1,U1257Z1,2,300,,
U1073Z1,U1257Z2,2,300,,
U1073Z1,U1257Z3,2,300,,
U1073Z1,U1397Z1,2,480,,
U1073Z1,U1397Z2,2,480,,
U1073Z1,U1397Z3,2,480,,
U1073Z1,U1397Z4,2,480,,
U1073Z2,U1073Z5,2,120,,
U1073Z2,U1073Z6,2,120,,
U1073Z2,U1073Z7,2,120,,
U1073Z2,U1073Z9,2,120,,
U1073Z2,U1073Z10,2,120,,
U1073Z2,U1073Z12,2,120,,
U1073Z2,U1257Z1,2,300,,
U1073Z2,U1257Z2,2,300,,
U1073Z2,U1257Z3,2,300,,
U1073Z2,U1397Z1,2,480,,
U1073Z2,U1397Z2,2,480,,
U1073Z2,U1397Z3,2,480,,
U1073Z2,U1397Z4,2,480,,
U1073Z3,U1073Z9,2,300,,
U1073Z3,U1073Z10,2,300,,
U1073Z3,U1073Z12,2,120,,
U1073Z3,U1257Z1,2,300,,
U1073Z3,U1257Z2,2,300,,
U1073Z3,U1257Z3,2,300,,
U1073Z3,U1397Z1,2,480,,
U1073Z3,U1397Z2,2,480,,
U1073Z3,U1397Z3,2,480,,
U1073Z3,U1397Z4,2,480,,
U1073Z4,U1073Z9,2,300,,
U1073Z4,U1073Z10,2,300,,
U1073Z4,U1073Z12,2,120,,
U1073Z4,U1257Z1,2,300,,
U1073Z4,U1257Z2,2,300,,
U1073Z4,U1257Z3,2,300,,
U1073Z4,U1397Z1,2,480,,
U1073Z4,U1397Z2,2,480,,
U1073Z4,U1397Z3,2,480,,
U1073Z4,U1397Z4,2,480,,
U1073Z5,U1073Z1,2,120,,
U1073Z5,U1073Z2,2,120,,
U1073Z5,U1073Z9,2,120,,
U1073Z5,U1073Z10,2,120,,
U1073Z5,U1257Z1,2,300,,
U1073Z5,U1257Z2,2,300,,
U1073Z5,U1257Z3,2,300,,
U1073Z5,U1397Z1,2,480,,
U1073Z5,U1397Z2,2,480,,
U1073Z5,U1397Z3,2,480,,
U1073Z5,U1397Z4,2,480,,
U1073Z6,U1073Z1,2,120,,
U1073Z6,U1073Z2,2,120,,
U1073Z6,U1073Z9,2,300,,
U1073Z6,U1073Z10,2,300,,
U1073Z6,U1257Z1,2,300,,
U1073Z6,U1257Z2,2,300,,
U1073Z6,U1257Z3,2,300,,
U1073Z6,U1397Z1,2,480,,
U1073Z6,U1397Z2,2,480,,
