route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L254D99,1,3159,"Letovice, železniční stanice",1,,0,0
L254D99,1,3160,"Boskovice, 17. listopadu",1,,1,0
L262D99,1,3161,"Kořenec, točna",1,,0,0
L262D99,1,3162,"Boskovice, aut.st.",1,,1,0
L255D99,1,3163,"Letovice, železniční stanice",1,,0,0
L255D99,1,3164,"Boskovice, aut.st.",1,,1,0
L255D99,1,3165,"Letovice, železniční stanice",1,,0,0
L255D99,1,3166,"Boskovice, aut.st.",1,,1,0
L254D99,1,3167,"Letovice, železniční stanice",1,,0,0
L256D99,1,3168,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3169,"Lysice, pohostinství",1,,0,0
L257D99,1,3170,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3171,"Olešnice, nám.",1,,0,0
L256D99,1,3172,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3173,"Olešnice, nám.",1,,0,0
L256D99,1,3174,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3175,"Olešnice, nám.",1,,0,0
L256D99,1,3176,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3177,"Olešnice, nám.",1,,0,0
L256D99,1,3178,"Boskovice, 17. listopadu",2,,1,0
L257D99,1,3179,"Lysice, pohostinství",2,,0,0
L301D99,1,3180,"Královo Pole, nádraží",2,,1,0
L301D99,1,3181,"Lysice, pohostinství",2,,0,0
L301D99,1,3182,"Královo Pole, nádraží",2,,1,0
L301D99,1,3183,"Kunštát, nám.",2,,0,0
L301D99,1,3184,"Královo Pole, nádraží",2,,1,0
L301D99,1,3185,"Olešnice, nám.",2,,0,0
L256D99,1,3186,"Olešnice, nám.",2,,0,0
L256D99,1,3187,"Boskovice, 17. listopadu",2,,1,0
L254D99,1,3188,"Letovice, železniční stanice",2,,0,0
L255D99,1,3189,"Boskovice, 17. listopadu",2,,1,0
L256D99,1,3190,"Olešnice, nám.",2,,0,0
L256D99,1,3191,"Boskovice, 17. listopadu",2,,1,0
L256D99,1,3192,"Kunštát, nám.",2,,0,0
L256D99,1,3193,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3194,"Olešnice, nám.",1,,0,0
L256D99,1,3195,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3196,"Olešnice, nám.",1,,0,0
L256D99,1,3197,"Boskovice, 17. listopadu",1,,1,0
L256D99,1,3198,"Olešnice, nám.",1,,0,0
L257D99,1,3199,"Hodonín u Kunštátu",1,,1,0
L257D99,1,3200,"Boskovice, aut.st.",1,,1,0
L256D99,1,3201,"Olešnice, nám.",1,,0,0
L256D99,1,3202,"Boskovice, aut.st.",2,,1,0
L256D99,1,3203,"Olešnice, nám.",2,,0,0
L256D99,1,3204,"Boskovice, 17. listopadu",2,,1,0
L256D99,1,3205,"Olešnice, nám.",2,,0,0
L275D99,1,3206,"Letovice, železniční stanice",2,,1,0
L275D99,1,3207,"Olešnice, nám.",2,,0,0
L257D99,1,3208,"Boskovice, aut.st.",2,,1,0
L262D99,1,3209,"Kořenec, točna",2,,0,0
L262D99,1,3210,"Boskovice, aut.st.",2,,1,0
L252D99,1,3211,"Boskovice, aut.st.",2,,0,0
L256D99,1,3212,"Olešnice, nám.",2,,0,0
L256D99,1,3213,"Boskovice, 17. listopadu",2,,1,0
L256D99,1,3214,"Olešnice, nám.",2,,0,0
L257D99,1,3215,"Lysice, škola točna",2,,1,0
L257D99,1,3216,"Boskovice, 17. listopadu",2,,1,0
L256D99,1,3217,"Olešnice, nám.",2,,0,0
L256D99,1,3218,"Boskovice, 17. listopadu",2,,1,0
L256D99,1,3219,"Olešnice, nám.",2,,0,0
L256D99,1,3220,"Boskovice, 17. listopadu",2,,1,0
L256D99,1,3221,"Olešnice, nám.",2,,0,0
L257D99,1,3222,"Lysice, pohostinství",2,,1,0
L257D99,1,3223,"Kozárov",2,,0,0
